,building,traffic sign,person,car,bicycle,average,training_losses,training_accuracy,validation_losses,validation_accuracy
16,0.24022145569324493,0.14256878197193146,0.1927078515291214,0.30359384417533875,0.16631831228733063,0.1719027467464146,1.4741071945717257,55.96463433790612,2.9626026496887206,40.60662454544499
17,0.2850189208984375,0.16153749823570251,0.14574643969535828,0.2817732095718384,0.15365691483020782,0.19885116908699274,1.4135754122048296,56.08379410173947,2.8915400581359862,53.65519522038383
18,0.31322595477104187,0.17522627115249634,0.17198514938354492,0.36145326495170593,0.21042859554290771,0.21874017150778519,1.3656968129498344,56.848656836664404,2.9999656066894533,57.80142361671054
19,0.2687985897064209,0.17420034110546112,0.14280274510383606,0.3472710847854614,0.17409175634384155,0.20466572688402315,1.2857669812216554,58.06297703764225,3.1468198165893555,55.642143577967154
20,0.267646461725235,0.16559399664402008,0.1644965410232544,0.317082017660141,0.10835181921720505,0.17714362689539007,1.2305677885650306,59.21340532274239,3.3363994388580323,41.540479548525376
21,0.29765570163726807,0.17118193209171295,0.19239987432956696,0.3250833749771118,0.16660165786743164,0.21179032266924255,1.1906505396128984,58.70219498942073,3.2390020809173583,56.759338709104604
22,0.32707780599594116,0.1748127043247223,0.17643363773822784,0.34002774953842163,0.15914975106716156,0.21339578132488227,1.126626875491873,60.1493006627888,3.3844984340667725,57.58383779144683
23,0.3401939570903778,0.19267000257968903,0.2056734710931778,0.2997637987136841,0.15886765718460083,0.22088589661411548,1.1040691950468606,60.0667979421212,3.37737091255188,60.90911282451374
24,0.39793387055397034,0.18399876356124878,0.20558008551597595,0.36854732036590576,0.1908847838640213,0.22878806876312746,1.0340222517048479,60.84635708306646,3.420891634941101,60.499025172422435
25,0.33981043100357056,0.21085800230503082,0.20281749963760376,0.37937864661216736,0.1882433146238327,0.23053964443112673,0.9829503105332454,61.6535796606287,3.406188844680786,61.167114245510575
26,0.3201720416545868,0.1727648228406906,0.17207926511764526,0.3254801630973816,0.13769705593585968,0.1984665859490633,0.9398025547264404,62.8179982708863,3.8398589658737183,56.412977419561074
27,0.3725636303424835,0.19044357538223267,0.22946412861347198,0.2923380732536316,0.1712992936372757,0.2238421043086993,0.9232372132840977,62.723957698527954,3.678370044708252,57.69281590979266
28,0.3313870429992676,0.1446758657693863,0.21909846365451813,0.3875596225261688,0.20242254436016083,0.22019191699004487,0.8669382282082112,62.85489877749431,3.739551452636719,58.205989002028424
29,0.16261155903339386,0.17495442926883698,0.1563316285610199,0.2823941707611084,0.11138111352920532,0.17072893333572306,0.8509311915765847,63.78281236088419,4.60032227897644,45.760129021139115
30,0.2951161861419678,0.14534875750541687,0.12085218727588654,0.30412110686302185,0.09058578312397003,0.18765126475083985,0.8064541869586513,63.90716996722164,4.211130388259888,50.27735319876954
31,0.29956716299057007,0.15905486047267914,0.20095258951187134,0.3836582601070404,0.18880972266197205,0.2326701232967408,0.7723303887872927,65.0592886323344,3.830049514770508,62.873904672646695
32,0.38588643074035645,0.1698228418827057,0.18497489392757416,0.3050774931907654,0.16066746413707733,0.20790009908868293,0.7242301891768171,66.08746397179596,4.2917708415985105,57.70813630740352
33,0.34147581458091736,0.1562132090330124,0.19853870570659637,0.39365923404693604,0.14721690118312836,0.21647951813218624,0.7658635029389013,64.85834935013476,4.072397485733032,56.6549177637809
34,0.4092690646648407,0.16827790439128876,0.21561101078987122,0.39452290534973145,0.1762070506811142,0.2338544439622446,0.6892991251041812,66.67939939134608,4.147596343994141,64.42921678616146
35,0.45040830969810486,0.1566346436738968,0.14093053340911865,0.3394033908843994,0.12004119902849197,0.21487867817478745,0.6694870739173825,66.94666882646256,4.488822687149048,60.25194722741182
36,0.39743325114250183,0.18385650217533112,0.2305927723646164,0.42088013887405396,0.15784160792827606,0.23404753673821688,0.6470135399290631,67.38455014782049,4.249032331466675,64.02901656301161
37,0.4527035653591156,0.17478446662425995,0.2193884551525116,0.42892274260520935,0.14356696605682373,0.23683035569755653,0.6278005069301974,67.7837242265,4.4170742664337155,65.63039270453181
38,0.4276161789894104,0.15763075649738312,0.19573040306568146,0.3935547173023224,0.15140937268733978,0.22916134233635507,0.6191717252656016,68.19785162639576,4.287212043762207,63.92700611375429
39,0.46345239877700806,0.17845682799816132,0.19273808598518372,0.3998366594314575,0.1419735699892044,0.23222124723619536,0.5812148217272054,68.85642912890829,4.708550649642945,64.47960750441361
40,0.471070259809494,0.18236927688121796,0.22690331935882568,0.43050268292427063,0.1727244108915329,0.24305037737480903,0.5778820912043253,69.0950165677626,4.714804462432861,66.05359755899802
41,0.41475367546081543,0.17279982566833496,0.15085405111312866,0.30054715275764465,0.14352107048034668,0.19943098921181732,0.5523092862398874,69.3433228623167,4.993630254745484,54.36942467944735
42,0.4471372663974762,0.18216606974601746,0.19568337500095367,0.4453062117099762,0.180006742477417,0.24347027552951322,0.5902374315886728,68.0108367170283,4.554310777664185,65.40183220153276
43,0.46300554275512695,0.17696812748908997,0.20932143926620483,0.4239170253276825,0.16819551587104797,0.23785333296186045,0.540584813382837,69.56315673948575,4.6810187816619875,66.58456071374553
44,0.39230918884277344,0.17980407178401947,0.19116327166557312,0.38579896092414856,0.1607176959514618,0.22754667741001436,0.5247567738256147,70.39316510951943,4.641754554748535,61.5270305853626
45,0.48475024104118347,0.1892252266407013,0.22834429144859314,0.4111393988132477,0.11540625244379044,0.2245341683002679,0.520923113450408,70.00230741283647,5.129778478622437,59.58322132163467
46,0.4983217716217041,0.1838514357805252,0.22301125526428223,0.44197148084640503,0.18184518814086914,0.246214797867364,0.477307459679983,71.46776224232845,4.9997353248596195,65.42794508720846
47,0.4605177938938141,0.20854364335536957,0.21560882031917572,0.41656604409217834,0.15048789978027344,0.2392400775202795,0.46599829729686504,71.84736802107798,5.306812780380249,65.5196611825893
48,0.4709430932998657,0.1837453842163086,0.24309764802455902,0.42326655983924866,0.15640084445476532,0.24093550492666269,0.46852928581297076,71.5989799396347,5.28350704574585,64.37049322714708
49,0.4764498174190521,0.18791770935058594,0.2162550538778305,0.4060664772987366,0.15749606490135193,0.23769215641445235,0.45747159137040055,72.0099433304145,5.129984783172607,63.40983715009498
50,0.44428732991218567,0.17077302932739258,0.1957337111234665,0.38081100583076477,0.11561854928731918,0.20802157462917661,0.4510096883681673,71.9169030034394,5.233230121612549,54.25379169415276
