,building,traffic sign,person,car,bicycle,average,training_losses,training_accuracy,validation_losses,validation_accuracy
0,0.0,0.0,0.0,0.05692198872566223,0.0,0.002995894143455907,3.742738862991333,5.892926142672842,3.7427388577461245,5.892926142672845
1,0.2029624730348587,0.0,0.0,0.0,0.0,0.023716342753079732,5.224666050605236,37.11913422278361,2.2388596415519713,26.234957992896895
2,0.36569517850875854,0.0,0.0,0.23598015308380127,3.0748034873795405e-07,0.11421887587140807,1.250046320580026,65.9175982872774,1.8477870246171952,63.754067696721194
3,0.33761703968048096,0.0,5.03618821312557e-07,0.15162856876850128,3.181223291903734e-05,0.11168602240720822,0.9330349859571264,76.13310805046963,2.095921427845955,55.859499363474384
4,0.4556214511394501,0.0,0.03383009508252144,0.3251766264438629,0.0011341075878590345,0.1439802543472979,0.8231166044590614,79.67663919030028,1.8097654995918273,68.97174158158624
5,0.3830486834049225,5.129020428285003e-05,0.08229629695415497,0.3609660863876343,0.010366554372012615,0.15644604362582987,0.7382730180497772,82.24120694281133,1.9269527599811553,66.32407440183741
6,0.45897406339645386,0.0,0.087112657725811,0.23703138530254364,0.003619252471253276,0.14650848686462095,0.6705059722987234,84.06906939247148,1.9993486105203628,68.42100844520505
7,0.5066227912902832,0.0010494817979633808,0.1332843154668808,0.3372473418712616,0.043473828583955765,0.17762054660744597,0.623074198362007,85.37719021388159,1.6537249326705932,74.85610766890862
8,0.5168920159339905,0.01394539512693882,0.16410894691944122,0.4381489157676697,0.03748256340622902,0.18413925769231068,0.5911268276232545,86.19254064688407,1.848784103512764,76.96905243394079
9,0.44444772601127625,0.01106373593211174,0.1126287505030632,0.43362608551979065,0.029669519513845444,0.1818559215925186,0.558330170419668,86.88507805439805,1.7250243536233902,71.57122429238196
10,0.4755134582519531,0.006156617309898138,0.16157445311546326,0.42943400144577026,0.08334416151046753,0.1929413154309594,0.5392211928002296,87.40284979428122,1.7666053122282028,72.73517935381669
